train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.15,0,17,0,312.0,0,0.026604240010924214,0.13,0,87,2,1555.0,0,54,-3315.7747,770.0075648979041,-2099.935,-4957.4907,-3333.5327,1226.3527714324293,-2139.983,-10306.861,176.20833,176.2,653060,1080,13287.356179714203
0.2,0,16,2,571.0,0,0.02187909601086748,0.19,0,81,4,1714.0,0,55,-3919.1152,2266.4395866645114,-2078.0754,-10312.961,-3291.795,1558.0735797772838,-2048.249,-10203.312,169.29999,172.96666,664346,1100,13524.971897602081
0.15,0,17,0,270.0,0,0.016909656010807815,0.12,0,88,0,1334.0,0,56,-3207.6858,796.1038248871814,-2154.549,-4877.5996,-3134.2598,737.5346771508442,-2125.1167,-5214.2266,176.35,175.16167,676218,1120,13768.699740171432
0.1,0,18,0,270.0,0,0.011572728010804337,0.15,0,85,3,1566.0,0,57,-3207.8005,617.7790260279156,-2256.6152,-4475.127,-3331.6006,1430.4629180793188,-2101.4956,-10301.347,176.425,175.63834,688962,1140,14025.852212667465
0.1,0,18,0,296.0,0,0.01,0.19,0,81,2,1269.0,0,58,-3272.146,846.9520647592756,-2214.1458,-5706.726,-3090.2002,1183.5737070415175,-2121.2742,-10188.735,176.29999,174.07336,700920,1160,14273.719871282578
0.2,0,16,1,383.0,0,0.01,0.17,0,83,1,1443.0,0,59,-3494.091,1675.838655718384,-2225.9937,-10061.864,-3290.522,1057.6606639182532,-2141.1165,-10104.916,174.71666,176.62164,712488,1180,14516.860424280167
0.1,0,18,0,209.0,0,0.01,0.08,0,92,1,1529.0,0,60,-2976.072,501.8407366884438,-2205.001,-3854.202,-3194.5088,1031.4410889624282,-1939.5443,-10107.594,175.09166,173.96832,725434,1200,14769.752988576889
0.1,0,18,0,250.0,0,0.01,0.17,0,83,2,1480.0,0,61,-3115.9868,711.7566297548622,-2115.687,-4320.204,-3234.8218,1178.511264265217,-2161.4036,-10102.562,175.6,174.85168,737472,1220,15015.3310110569
0.2,0,16,0,342.0,0,0.01,0.2,0,80,2,1386.0,0,62,-3425.5676,1295.9890431635602,-2164.8105,-7413.027,-3127.2983,1211.2603023297677,-2008.1948,-10085.2,176.89166,173.55836,749580,1240,15259.650548934937
0.1,0,18,0,300.0,0,0.01,0.15,0,85,3,1701.0,0,63,-3291.6152,688.0111554328171,-2273.7686,-5242.356,-3363.6716,1380.6238010406746,-2119.1453,-10226.148,176.425,174.86166,762002,1260,15503.146570682526
0.15,0,17,0,225.0,0,0.01,0.13,0,87,1,1393.0,0,64,-3089.8088,635.0056495811671,-2178.181,-4607.4536,-3226.7131,1081.5533273953718,-2120.4907,-10046.793,176.74167,175.89166,773464,1280,15745.799463510513
0.1,0,18,1,377.0,0,0.01,0.17,0,83,3,1571.0,0,65,-3466.8796,1670.3445153620255,-2225.2456,-10140.98,-3364.0,1394.5475538682788,-2143.807,-10199.517,173.86667,176.21165,785040,1300,15991.007484197617
0.2,0,16,0,268.0,0,0.01,0.16,0,84,3,1676.0,0,66,-3146.5288,627.0183410395584,-2189.5623,-4116.5435,-3263.7217,1409.5978433581686,-1936.2168,-10189.657,175.24167,172.48,797560,1320,16232.948036670685
0.1,0,18,0,257.0,0,0.01,0.11,0,89,1,1181.0,0,67,-3186.0571,634.8645524834411,-2155.0796,-4436.828,-3103.0852,941.2015299605074,-2235.635,-10127.423,176.71666,176.01334,809370,1340,16471.76542854309
0.1,0,18,0,316.0,0,0.01,0.21,0,79,0,1242.0,0,68,-3311.1294,752.0310498908938,-2165.8508,-4642.2046,-3197.1338,762.7018814713912,-2209.9966,-5845.9297,176.025,177.73834,820920,1360,16714.817804813385
0.25,0,15,0,298.0,0,0.01,0.19,0,81,5,1840.0,0,69,-3264.8071,941.6195622436909,-2200.906,-5823.8184,-3427.3057,1689.8379567283957,-2059.5696,-10371.656,176.07501,173.5217,832588,1380,16953.49033689499
0.15,0,17,0,229.0,0,0.01,0.12,0,88,0,1292.0,0,70,-3105.7112,780.2457305234037,-2167.4824,-5480.2427,-3127.2703,765.5491362414302,-2038.1881,-5846.2505,176.74165,175.58331,845134,1400,17197.44848704338
0.25,0,15,1,445.0,0,0.01,0.16,0,84,0,1489.0,0,71,-3625.2466,1863.6705717481295,-2184.6692,-10251.077,-3275.6187,848.402687407342,-2123.019,-5716.1045,172.93335,176.29668,856662,1420,17441.74950838089
0.1,0,18,2,648.0,0,0.01,0.17,0,83,1,1210.0,0,72,-4184.157,2202.0283376923194,-2159.5818,-10242.451,-3086.328,960.5052420471218,-2115.9094,-10016.541,171.56667,175.33832,868228,1440,17688.819100141525
0.2,0,16,0,255.0,0,0.01,0.12,0,88,2,1707.0,0,73,-3135.716,782.3647806490269,-2093.6616,-5603.147,-3401.8765,1269.674225933566,-2171.4915,-10279.324,175.83334,175.78001,880378,1460,17940.66810154915
0.25,0,15,2,470.0,0,0.01,0.17,0,83,1,1559.0,0,74,-3645.4167,2242.7911182274643,-2140.5803,-10159.239,-3313.3206,1056.5730263450796,-2107.749,-10230.834,170.41666,175.86166,892214,1480,18191.702629566193
0.25,0,15,0,279.0,0,0.01,0.18,0,82,3,1694.0,0,75,-3236.263,769.6019425651159,-2222.3354,-4980.1885,-3349.0327,1436.8917565356132,-2103.7888,-10243.823,176.49167,174.32002,904858,1500,18438.78667998314
0.0,0,20,0,371.0,0,0.01,0.18,0,82,2,1643.0,0,76,-3604.7378,835.0928391502349,-2359.632,-5166.9688,-3377.8743,1270.7230067957375,-2135.7424,-10222.232,178.9,175.60498,916780,1520,18689.07556796074
0.05,0,19,0,277.0,0,0.01,0.13,0,87,4,1868.0,0,77,-3205.849,747.4314015346157,-2404.6526,-5120.6895,-3456.2893,1558.6561904409837,-2129.143,-10301.332,175.86667,174.16502,928614,1540,18927.22053003311
0.25,0,15,0,203.0,0,0.01,0.1,0,90,0,1479.0,0,78,-2994.0667,724.0155039776428,-2181.0718,-4477.4604,-3290.712,812.5905734132042,-2157.8623,-6703.69,175.89166,176.765,941206,1560,19172.862076997757
0.15,0,17,1,377.0,0,0.01,0.22,0,78,1,1256.0,0,79,-3418.3804,1651.870031207056,-2364.2097,-10140.82,-3172.7437,1067.3952594985608,-2115.0498,-10063.503,172.93335,176.65666,953336,1580,19424.348009586334
0.15,0,17,0,247.0,0,0.01,0.16,0,84,2,1571.0,0,80,-3071.395,754.7840419616726,-2069.9731,-5032.458,-3312.0593,1282.5755962125586,-2161.1807,-10261.172,174.79166,175.39,965520,1600,19677.473521709442
0.2,0,16,0,220.0,0,0.01,0.12,0,88,2,1749.0,0,81,-3006.035,551.4534205170913,-2109.4255,-4246.41,-3408.848,1215.2972311331907,-2124.3848,-10202.236,175.07498,175.14998,977528,1620,19930.658051729202
0.1,0,18,0,231.0,0,0.01,0.19,0,81,3,1708.0,0,82,-3053.115,558.64353571844,-2243.1428,-4133.7275,-3341.1555,1424.8221783787617,-2119.205,-10125.106,175.55002,174.38834,989378,1640,20182.036052942276
0.25,0,15,0,267.0,0,0.01,0.16,0,84,0,1097.0,0,83,-3179.7866,836.7559082552091,-2074.9624,-5147.932,-3027.751,749.2276289619864,-2057.9966,-6260.6606,175.88333,175.72498,1001934,1660,20434.95756292343
0.3,0,14,0,179.0,0,0.01,0.16,0,84,0,1142.0,0,84,-2875.9624,639.4209294353759,-2229.9983,-4593.1733,-3044.9397,724.3540570743012,-2075.3538,-5677.042,175.01666,175.47333,1014066,1680,20682.691556692123
0.1,0,18,0,283.0,0,0.01,0.13,0,87,1,1478.0,0,85,-3241.454,631.8452539981605,-2332.7236,-4692.491,-3335.571,965.9461268621558,-2279.4043,-10181.596,176.31665,177.42332,1026002,1700,20927.432090759277
0.05,0,19,0,343.0,0,0.01,0.19,0,81,1,1345.0,0,86,-3454.9355,950.1451468065287,-2275.3376,-5601.6694,-3141.316,947.4941266308725,-2059.4854,-10002.364,177.36667,174.67334,1037368,1720,21169.58112025261
