train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.9,1,2,0,282.0,4,0.08623326666814685,0.75,16,13,0,970.0,76,41,-480.9982,1621.903757933867,-10.590839,-7485.3774,-1020.49963,2308.980034560715,0.0,-7659.058,134.6,158.18832,442276,820,10031.107001066208
0.65,2,7,0,438.0,11,0.08099393333478822,0.74,12,16,1,578.0,54,42,-930.81903,2507.3030929666243,-16.611126,-8619.855,-795.2174,2113.3030071430835,0.0,-10019.92,154.3,148.33,453116,840,10271.255998849869
0.7,2,6,1,699.0,11,0.07529930000142739,0.9,9,1,0,3.0,43,43,-1367.6912,3133.6917525500176,-9.230381,-10024.499,-542.9584,1648.143974293508,0.0,-7155.61,167.69168,137.94,464898,860,10507.882000923157
0.75,3,5,0,452.0,16,0.06950026666806605,0.68,31,2,0,2.0,141,44,-1282.2244,2759.328179104472,-9.371602,-8344.353,-1777.7444,2668.6436405035424,0.0,-7256.85,173.28336,207.7083,476896,880,10813.287999391556
0.7,1,6,1,499.0,4,0.06410336666804,0.81,5,15,5,3051.0,20,45,-908.0093,2432.9570485316835,-9.059394,-10063.739,-794.5499,2461.427098250119,0.0,-10015.23,151.00833,136.77832,488062,900,11051.327000617981
0.7,2,6,0,183.0,12,0.05882150000137423,0.79,16,6,0,414.0,76,46,-853.8249,2361.976883883498,-9.674588,-8045.9224,-984.93414,2257.7758258959193,0.0,-9999.766,153.63333,158.69667,498990,920,11309.22800040245
0.8,0,4,0,21.0,0,0.05405100000138544,0.83,14,3,0,5.0,72,47,-115.765785,214.69561301992178,-17.241707,-822.02057,-887.3182,2145.570245878703,-0.22,-7318.83,122.3,156.42332,508860,940,11535.712000846863
0.85,3,2,0,101.0,15,0.048341866668065524,0.8,14,7,0,434.0,69,48,-1096.3308,2362.9442651065638,-6.4644012,-7232.627,-876.3235,2140.637512518175,0.0,-7215.7,174.98332,153.16335,520672,960,11796.849000930786
0.9,0,2,0,8.0,0,0.04391550000140926,0.82,13,5,0,16.0,67,49,-54.123962,53.487332393404145,-6.853663,-224.92665,-832.0614,2107.0884556657797,-0.22,-7235.35,115.041664,151.97166,529830,980,12029.386000394821
0.9,2,0,0,0.0,10,0.038451900001422096,0.87,13,0,0,0.0,65,50,-626.63855,1810.504957187359,-4.8070364,-7185.2695,-824.55963,2072.2021523007834,0.0,-7178.0,144.375,153.19,541134,1000,12277.35800075531
0.95,1,0,0,0.0,6,0.03339816666810064,0.92,7,1,0,1.0,36,51,-392.6694,1488.5719330956097,-9.737811,-6873.407,-452.96475,1589.1902843901355,0.0,-7211.68,133.24167,131.06667,551590,1020,12502.833000421524
0.95,1,0,0,0.0,6,0.02823616666810195,0.83,7,12,0,17.0,36,52,-376.5428,1535.063125737831,-3.9404585,-7067.3203,-451.32935,1572.879601240985,0.0,-7197.9,128.35832,130.76666,562270,1040,12725.658000469208
0.8,3,2,0,2.0,14,0.022204166668094473,0.84,9,7,0,10.0,46,53,-935.01105,2056.432931072638,-3.3417907,-5992.042,-575.85565,1771.3760526776916,0.0,-7183.03,165.40833,137.77333,574750,1060,12970.764999628067
0.95,0,1,0,2.0,0,0.017795200001422342,0.68,10,22,0,42.0,51,54,-28.415674,19.103563609393014,-3.5669386,-75.21888,-641.8931,1839.6816246296532,-0.4,-7166.12,109.28334,142.145,583872,1080,13184.054000854492
0.95,1,0,0,0.0,5,0.012688300001421283,0.95,3,2,0,12.0,18,55,-317.8049,1277.0474540908806,-8.191944,-5883.75,-241.25203,1197.953388074845,0.0,-7137.23,124.725,121.37501,594438,1100,13408.002001523972
0.9,1,1,0,3.0,4,0.01,0.83,13,4,0,9.0,65,56,-287.7457,1051.3271612585684,-1.4202567,-4856.0293,-822.7782,2081.892677349147,0.0,-7206.43,124.999985,152.585,604276,1120,13643.756999969482
0.95,1,0,0,0.0,4,0.01,0.9,9,1,0,1.0,47,57,-268.76068,1060.0663658469691,-1.1758332,-4888.7773,-583.9725,1795.2867180481228,0.0,-7225.74,121.96666,139.145,614288,1140,13862.949999570847
0.9,2,0,0,0.0,10,0.01,0.91,4,5,0,7.0,23,58,-618.22034,1743.4276010204726,-1.3003923,-5946.7534,-296.76392,1334.1395429264512,0.0,-7147.49,144.27501,123.37167,625264,1160,14089.332999706268
0.8,3,1,0,2.0,14,0.01,0.85,12,3,0,3.0,60,59,-894.0941,2094.743802950614,-2.267872,-7232.839,-743.19446,1957.2881647831011,0.0,-7235.27,157.26666,148.50833,637402,1180,14348.916999578476
0.9,2,1,0,211.0,11,0.01,0.91,6,3,0,7.0,29,60,-739.5892,2166.892152369379,-8.654224,-8374.276,-376.79257,1410.6836923988312,-0.4,-6970.79,146.51668,127.22166,647930,1200,14578.96700000763
0.85,2,1,0,2.0,12,0.01,0.84,10,7,0,454.0,52,61,-744.44745,2117.4225841810608,-12.281352,-7126.569,-699.2671,2042.048383364116,0.0,-9719.489,150.68332,144.655,658674,1220,14825.419000864029
0.85,1,2,0,6.0,4,0.01,0.96,4,1,0,2.0,18,62,-266.8023,1034.2676152717922,-10.533501,-4774.472,-245.53545,1069.0323100823473,0.0,-6006.93,122.55,121.19,669206,1240,15040.524000167847
