train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.1,1,17,0,150.0,6,0.01,0.27,3,73,0,998.0,14,63,-431.0005,1510.8136880502507,-1.3756227,-7007.5938,-292.58997,1321.1249146087587,0.0,-9568.577,123.60832,114.045,635172,1260,74807.33572649956
0.45,0,11,0,91.0,0,0.01,0.38,0,62,0,423.0,0,64,-76.54906,109.26416169655081,-1.2407479,-467.67654,-55.413662,52.67820944185556,0.0,-284.8903,107.39166,105.33,644592,1280,76072.53643846512
0.25,1,15,0,318.0,6,0.01,0.22,1,78,1,1423.0,6,65,-513.29456,1972.1168322389015,-1.0739577,-9107.128,-246.31335,1220.1489745108997,0.0,-10008.2,123.21665,108.81334,655238,1300,77495.49571442604
0.15,1,17,0,394.0,5,0.01,0.31,2,69,0,513.0,10,66,-502.39835,1939.7570981955448,-3.3553333,-8954.986,-175.65327,863.5088418771403,0.0,-7274.6426,119.55833,108.61167,664994,1320,78717.55039906502
0.1,1,18,0,652.0,6,0.01,0.17,5,83,0,855.0,25,67,-841.14795,2312.3578442792973,-1.1660688,-9162.715,-387.57495,1331.9851650825544,0.0,-7131.98,137.50833,118.93334,674494,1340,79852.95018458366
0.25,1,15,2,1080.0,6,0.01,0.22,4,78,1,1134.0,21,68,-1428.9496,3264.1936217081243,-1.141193,-10033.966,-423.90402,1564.7252538385135,0.0,-10029.21,153.8,119.83833,685482,1360,81317.28573989868
0.15,1,17,0,322.0,5,0.01,0.23,4,77,0,716.0,21,69,-466.39966,1763.7019589488468,-1.1522952,-8151.6143,-322.87997,1245.5071898628285,0.0,-7221.01,119.749985,115.71667,695704,1380,82541.78373885155
0.25,0,15,0,118.0,0,0.01,0.21,3,78,0,558.0,13,70,-66.13167,67.08346596777778,-1.1367574,-257.3005,-216.73233,913.0229350898038,0.0,-6107.33,103.74166,110.611664,704354,1400,83548.21410274506
0.5,0,10,0,62.0,0,0.01,0.28,5,70,0,591.0,26,71,-189.0048,652.0139185630933,-1.1741225,-3024.8398,-378.17383,1394.600846120495,0.0,-7414.959,114.79167,120.02167,714198,1420,84893.61208891869
0.45,0,11,0,64.0,0,0.01,0.25,1,75,0,701.0,5,72,-38.880295,46.385371987028414,-1.1641293,-206.60649,-133.9154,601.8966024160628,0.0,-6077.34,103.425,105.49333,723442,1440,86099.71211266518
